[22:04:51] [trace   ] iKAN: Initializing...
[22:04:51] [info    ] iKAN: Initialized spd logger
[22:04:51] [info    ] iKAN: Creating Window : iKan Mario (1280x720)
[22:04:52] [info    ] iKAN: Created Context of OpenGl :
[22:04:52] [info    ] iKAN: --------------------------------------------------
[22:04:52] [info    ] iKAN: Vendor   : Intel Inc. 
[22:04:52] [info    ] iKAN: Renderer : Intel(R) HD Graphics 6000 
[22:04:52] [info    ] iKAN: Version  : 4.1 INTEL-14.6.18 
[22:04:52] [info    ] iKAN: --------------------------------------------------
[22:04:52] [info    ] iKAN: Initialising Renderer2D 
[22:04:52] [info    ] iKAN: Pushing Layer: Imgui Layer at End 
[22:04:52] [info    ] iKAN: Pushing Layer: Mario at 0 
[22:04:52] [info    ] APP: Player Instance Created
[22:04:52] [info    ] iKAN: 3.0, 10.0, 0.70663905
[22:04:52] [info    ] iKAN: 3.0, -0.59958553, 0.07529849
[22:04:52] [info    ] iKAN: 3.0, -1.7290628, 0.027804375
[22:04:52] [info    ] iKAN: 3.0, -2.1461284, 0.0134651065
[22:04:52] [info    ] iKAN: 3.0, -2.348105, 0.016033113
[22:04:52] [info    ] iKAN: 3.0, -2.5886016, 0.015594959
[22:04:52] [info    ] iKAN: 3.0, -2.822526, 0.016754389
[22:04:52] [info    ] iKAN: 3.0, -3.0738418, 0.016903877
[22:04:52] [info    ] iKAN: 3.0, -3.3274, 0.014937103
[22:04:52] [info    ] iKAN: 3.0, -3.5514565, 0.01826793
[22:04:52] [info    ] iKAN: 3.0, -3.8254755, 0.016757548
[22:04:52] [info    ] iKAN: 3.0, -4.0768385, 0.015640974
[22:04:52] [info    ] iKAN: 3.0, -4.311453, 0.016540408
[22:04:52] [info    ] iKAN: 3.0, -4.559559, 0.017816126
[22:04:52] [info    ] iKAN: 3.0, -4.826801, 0.015257895
[22:04:52] [info    ] iKAN: 3.0, -5.0556693, 0.01664257
[22:04:52] [info    ] iKAN: 3.0, -5.305308, 0.018084407
[22:04:52] [info    ] iKAN: 3.0, -5.576574, 0.016053677
[22:04:52] [info    ] iKAN: 3.0, -5.817379, 0.017034054
[22:04:52] [info    ] iKAN: 3.0, -6.07289, 0.015542388
[22:04:52] [info    ] iKAN: 3.0, -6.3060255, 0.016690373
[22:04:52] [info    ] iKAN: 3.0, -6.556381, 0.018160462
[22:04:52] [info    ] iKAN: 3.0, -6.8287883, 0.016736746
[22:04:52] [info    ] iKAN: 3.0, -6.8287883, 0.015519142
